citekey;zotero_key;author;year;title;field;tags;status
acquavivaLexicalPluralsMorphosemantic2008;8SAZBIV3;Acquaviva;2008;Lexical plurals: a morphosemantic approach;Grammar;nominalization, semantics, grammar;claude
adamReformulationRepetitionStyle2000/Apr/10;IIQBKT65;Adam;2000;Reformulation, répétition et style périodique dans l'appel du 18 juin 1940;Linguistics;hyperbole_&_figures, political_discourse;claude
aghaTropicAggressionClintonDole2022;UEWATTDA;Agha;1997;Tropic aggression in the Clinton-Dole presidential debate;Pragmatics;hyperbole_&_figures, politeness, political_discourse;claude
akerlundDogWhistlingFarright2022;BU4NCTJH;Åkerlund;2022;Dog whistling far-right code words: the case of ‘culture enricher' on the Swedish web;Discourse Analysis;dog_whistling, far_right;zotero
nomsrenomsAkin1999;I4VZ5W8B;Akin;1999;Noms et Re-noms : la dénomination des personnes, des populations, des langues et des territoires;Linguistics;enemy_&_otherness, semantics;claude
FatimaZahraAklalouchPhD;6GXDZ4E7;Aklalouch;2026;Analyzing fear in political  discourse : A comparative case-study of Boris  Johnson’s and Donald Trump’s discourses  during the Covid-19 pandemic;Discourse Analysis;Trump, fear, health_&_pandemic, political_discourse;claude
"mitterand;LargumentationDansDiscours2021";2Y3LTLH2;Amossy;2021;L'argumentation dans le discours;Rhetoric & Argumentation;argumentation, persuasion, rhetorical_proofs;claude
anggoroSyntacticalAnalysisSentence2022;5DF2WMNV;Anggoro;2022;A Syntactical Analysis on Sentence Structures Spoken by Joe Biden and Donald Trump in the Election Night Speeches;Grammar;Trump, political_discourse, grammar;claude
anscombreTheorieTopoiSemantique1995;Y6UE7HLY;Anscombre;1995;La théorie des topoï : sémantique ou rhétorique ?;Linguistics;argumentation, semantics;claude
antrobusExploringClassicalContemporary2005;E2LSDPUA;Antrobus;2005;Exploring Classical and Contemporary Conception of Ethos Applied Case-The Rhetorical Ethos of President George W. Bush;Rhetoric & Argumentation;Bush, rhetorical_proofs;claude
OriginsTotalitarianism;YZ36ZM7Z;Arendt;1962;The origins of totalitarianism;Philosophy;ideology, manipulation;claude
laslett1969;P63Z6P95;Arendt;1969;Truth and Politics;Philosophy;manipulation, post-truth;claude
arendtCrisesRepublicLying1972;HLSAXP57;Arendt;1972;Crises of the republic: lying in politics, civil disobedience, on violence, thoughts on politics and revolution;Philosophy;manipulation, post-truth, war_&_violence;claude
arendtFuture2006a;JJ2PF3SN;Arendt;2006;Between Past and Future;Philosophy;ideology, post-truth;claude
aristotleNicomacheanEthics2002;3TXMZWY5;Aristotle;2002;Nicomachean ethics;Philosophy;emotion, fear;claude
